,filename,suffix,nb_chars,nb_tokens,ratio_alnum,ratio_al,ratio_num,nb_occ_article
0,097c153d24fcda1e4a3202512d0e3baa_summary_en,txt,322,60,0.84472049689441,0.84472049689441,0.0,0
1,fe05be2c0c1a464ab754d6489af3fc16,pdf,13147,3226,0.8271849091047387,0.8083212900281433,0.018863619076595423,16
2,b2c9fa6aa01ebbfa7735fdeb28507efe,pdf,4231,1178,0.8180099267312692,0.8021744268494446,0.015835499881824627,0
3,f9cdd79bc61140ed6bc03380c522719d,pdf,38166,11653,0.810826389980611,0.7776555048996489,0.033170885080962116,31
4,28f2fe5aaf959ea86322064719a8221c,pdf,41059,11307,0.8255924401471054,0.8200151002216323,0.0055773399254731,0
5,2f40b8188debf60ce7267b26dd005d11,pdf,1386,521,0.8073593073593074,0.7604617604617605,0.046897546897546896,4
6,c1feac5448601b891e68757083811224_summary_fr,txt,163,31,0.8466257668711656,0.8466257668711656,0.0,0
7,084f0339cc962328c84555f1ab9160e9,pdf,279,114,0.8064516129032258,0.7670250896057348,0.03942652329749104,0
8,b5cd04c2811f540025c51a92d9f88b97,pdf,4293,1218,0.8085255066387141,0.7836012112741673,0.024924295364546937,11
9,6aa9abfe5879f0fbfc0dbf0731370efe_summary_en,txt,342,61,0.8567251461988304,0.8567251461988304,0.0,0
10,2deecce524641c953c07d3274fc7b4a3_summary_en,txt,283,54,0.8303886925795053,0.8303886925795053,0.0,0
11,c4e23648787432ea45361046498d3c5b,pdf,8291,2412,0.8066578217344108,0.783258955493909,0.023398866240501748,15
12,b64510c3efe1bd8561209c6997218201_summary_fr,txt,770,195,0.7948051948051948,0.7792207792207793,0.015584415584415584,0
13,c395098dee071ebea47a8db44dfb2c2d,pdf,115183,45731,0.7803668944201836,0.6644209648993341,0.11594592952084944,128
14,50d8d3342d6b5b437cdb697d0c2625f2_summary_en,txt,314,62,0.8184713375796179,0.8184713375796179,0.0,0
15,1b36adb1a976b351fc6792cf10f51515_summary_fr,txt,321,65,0.8566978193146417,0.8566978193146417,0.0,0
16,1c17806c7b022028b1b1338be71ca5e8,docx,1910,441,0.8094240837696335,0.8094240837696335,0.0,0
17,db6536ccab9a7255c2cb68dc00b51159,pdf,2600,692,0.7861538461538462,0.77,0.016153846153846154,0
18,c202e9d12c7fc3bfca2950e2f0c1d91b,pdf,6148,1687,0.8160377358490566,0.784808067664281,0.031229668184775537,13
19,d0e1ed635c7b21b7aa4bd71e59dfd107_summary_en,txt,230,40,0.8434782608695652,0.8434782608695652,0.0,0
20,fc88e59377eb65c4dbb34d7efe528414,pdf,3665,978,0.8130968622100955,0.784174624829468,0.028922237380627557,10
21,83cd7b1f684ca3bdd7365420a64f9ba5,pdf,7724,2160,0.8104609010875194,0.7954427757638529,0.015018125323666495,9
22,5ab1925c2d1f2d42af13fd16f5218769,pdf,7458,1971,0.8138911236256369,0.7909627245910432,0.022928399034593726,15
23,9ee59f1f19aca410c0c08f8b5def3561_summary_en,txt,274,47,0.8394160583941606,0.8394160583941606,0.0,0
24,0118a9090dee3aa27b30d3f0fb62ef8f,pdf,9092,2560,0.8057633084029916,0.7842058952925649,0.02155741311042675,9
25,b1b14e480f9d477cfa37686dd6a67a46_summary_en,txt,327,52,0.8532110091743119,0.8532110091743119,0.0,0
26,7fb5ad790148594edf594541cd8f7ec7_summary_fr,txt,318,69,0.8270440251572327,0.8270440251572327,0.0,0
27,206ec30cf3ae638400ae9f0b5467503c_summary_en,txt,445,83,0.8404494382022472,0.8404494382022472,0.0,0
28,45249795a9e832d10139d65826c42908,pdf,6642,1796,0.8164709424872026,0.7874134296898525,0.029057512797350197,14
29,3976ecec7bf1095443bc5fb7a9493f38_summary_fr,txt,782,176,0.8222506393861893,0.809462915601023,0.01278772378516624,0
30,c1db537d59c5fe226d880d024fe30a34_summary_fr,txt,847,205,0.8229043683589138,0.8016528925619835,0.021251475796930343,0
31,dae7dcc87bdb119358655ec9d34be2bb_summary_en,txt,563,133,0.8081705150976909,0.7921847246891652,0.015985790408525755,0
32,5f34b6813d5938c67a11dc17bc752fd2,pdf,6770,2033,0.8079763663220089,0.7793205317577548,0.02865583456425406,12
33,54f45b20e8255ee8c37a3ddfb2040cbc,pdf,17214,4545,0.8173579644475427,0.8145695364238411,0.0027884280237016382,0
34,c9f1470cfd37c959196faa490f6c092e_summary_fr,txt,941,216,0.8108395324123273,0.798087141339001,0.012752391073326248,0
35,bceb5782c051858b5cded85b1fb40740,pdf,7196,2055,0.8054474708171206,0.7833518621456365,0.02209560867148416,8
36,fc88e59377eb65c4dbb34d7efe528414_summary_en,txt,367,69,0.8419618528610354,0.8365122615803815,0.005449591280653951,1
37,64a4abe44cbd8c8b1286fe6c5299bbfa,pdf,11441,3271,0.8189843545144655,0.7943361594266235,0.02464819508784197,11
38,7ccb7c67381570a4897fd38bab1ecf8d_summary_fr,txt,463,106,0.8315334773218143,0.8315334773218143,0.0,0
